location_id,date,version_name,location_name,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,seir_daily_unscaled_mean,seir_daily_unscaled_lower,seir_daily_unscaled_upper,seir_cumulative_unscaled_mean,seir_cumulative_unscaled_lower,seir_cumulative_unscaled_upper,cases_mean,cases_lower,cases_upper,reff_mean,reff_lower,reff_upper,inf_cuml_mean_vax,inf_cuml_lower_vax,inf_cuml_upper_vax,inf_cuml_mean_unvax,inf_cuml_lower_unvax,inf_cuml_upper_unvax,inf_mean_vax,inf_lower_vax,inf_upper_vax,inf_mean_unvax,inf_lower_unvax,inf_upper_unvax,cumulative_deaths,daily_deaths,cumulative_cases,cumulative_hospitalizations,cumulative_deaths_unscaled,daily_deaths_unscaled,daily_cases,population,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,mandates_mean,mandates_upper,mandates_lower,cumulative_all_vaccinated,cumulative_all_fully_vaccinated,cumulative_all_effectively_vaccinated,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,admis_mean,admis_upper,admis_lower,admis_mean_vax,admis_upper_vax,admis_lower_vax,admis_mean_unvax,admis_upper_unvax,admis_lower_unvax,all_bed_capacity,icu_bed_capacity,infection_fatality,infection_detection,infection_hospitalization,mask_use_mean,mobility_mean
536,1/1/2022,reference,Illinois,174279.19,209120.84,148101.89,39950.93,32265.55,48242.43,10498248.54,9624107.12,11373016.91,84.78,68.47,102.38,65.95,65.95,65.96,31079.33,31076.37,31083.02,23328.03,23328.03,23328.03,0.98,0.89,1.17,3698855.831,3184716.497,4189553.705,6442797.17,6086284.503,6887206.68,117782.1004,100062.6965,141379.7481,40680.26841,34909.04713,48465.51369,39970.65,63.95,2194168,147459.57,31094.5,49.75,22297,13042506.72,1.0762,0,0.6054,1,0.0556,0.0556,0.0556,10535714.21,9783028,8674745.488,6065.06,6240.01,5914.79,1019.13,1048.53,993.88,807.74,807.74,807.74,552.8027929,556.0355967,543.3243025,145.5170556,158.3642846,137.1414414,36072,2910,0.0014,0.1754,0.0061,0.0971,-6.4659
536,1/2/2022,reference,Illinois,170405.61,205158.15,144483.19,40037.09,32335.13,48346.46,10668654.15,9774238.27,11573798.12,86.16,69.58,104.04,67.02,67.02,67.03,31146.35,31143.39,31150.05,24385.53,24385.53,24385.53,0.94,0.87,1.07,3814255.425,3282540.063,4325673.909,6482105.941,6121734.222,6928944.907,115399.5946,97823.56618,138981.6139,39308.77083,33671.55296,46992.78021,40034.6,63.95,2216465,148234.57,31144.25,49.75,22297,13042506.72,1.0647,0,0.6091,1,0.0556,0.0556,0.0556,10566059.21,9811227,8698521.627,6262.78,6440.31,6108.15,1027.92,1057.05,1002.54,828.96,828.96,828.96,567.3123449,570.4446113,558.8568557,147.5737389,159.2758573,139.5958038,36072,2910,0.0013,0.1765,0.006,0.1086,-6.4659
536,1/3/2022,reference,Illinois,166302.13,202813.74,139589.31,40130.32,32410.42,48459.04,10834956.28,9920129.5,11770573.78,93.23,75.29,112.58,72.52,72.52,72.53,31218.87,31215.91,31222.58,26162.67,26162.67,26162.67,0.91,0.84,1.01,3927096.997,3377869.381,4458801.026,6520021.095,6155969.776,6969125.773,112841.572,94758.09212,137579.8637,37915.1543,31904.68363,45895.92221,40098.55,63.95,2238762,148983.57,31194,49.75,22297,13042506.72,1.0667,0,0.613,1,0.0556,0.0556,0.0556,10598253.21,9841144,8719429.846,6433.71,6613.96,6270.79,1035.4,1064.41,1009.19,845.6,845.6,845.6,578.5194701,581.6319687,571.1225734,148.8980626,159.464553,141.3000227,36072,2910,0.0014,0.1828,0.0059,0.1195,-6.4659
536,1/4/2022,reference,Illinois,161808.75,200539.77,134661.66,40232.93,32493.29,48582.96,10996765.03,10062609.94,11963819.84,102.61,82.87,123.92,79.83,79.82,79.83,31298.7,31295.73,31302.41,28614.17,28614.17,28614.17,0.89,0.82,0.97,4037059.563,3470967.915,4583183.563,6556524.242,6188233.216,7008115.585,109962.5663,91438.04042,136246.1773,36503.14627,30335.76586,44980.92906,40223.24,124.69,2263192,149911.57,31291,97,24430,13042506.72,1.0686,0,0.6159,1,0.0556,0.0556,0.0556,10632788.21,9873235,8729913.874,6584.72,6768.84,6410.69,1050.26,1079.63,1022.51,864.1,864.1,864.1,590.8689817,593.8415297,584.3384923,150.5695802,160.0767714,142.8980626,36072,2910,0.0015,0.1926,0.0058,0.1301,-6.4659
536,1/5/2022,reference,Illinois,157479.86,197575.89,130121.38,40344.19,32583.14,48717.32,11154244.89,10203899.3,12156199.98,111.26,89.85,134.36,86.55,86.55,86.56,31385.26,31382.28,31388.97,30347.74,30347.74,30347.74,0.88,0.82,0.94,4144142.553,3562550.405,4707554.883,6591779.959,6217881.729,7046521.502,107082.9894,88489.59414,134307.3017,35255.71763,29460.45615,43963.53837,40351.78,128.55,2295478,150857.57,31391,100,32286,13042506.72,1.0706,0,0.6191,1,0.0556,0.0556,0.0556,10658717.21,9897331,8734813.352,6736.05,6927.31,6553.64,1069.91,1100.29,1040.94,887.89,887.89,887.89,606.7259457,609.5544393,600.7732311,153.1331326,161.783031,145.1570068,36072,2910,0.0015,0.1958,0.0057,0.1403,-16.2465
536,1/6/2022,reference,Illinois,153568.01,191575.58,127514.63,40460.39,32676.98,48857.64,11307812.91,10338512.48,12347140.76,116.2,93.84,140.33,90.4,90.39,90.4,31475.65,31472.67,31479.37,30869.17,30869.17,30869.17,0.87,0.82,0.92,4248552.21,3654070.549,4835675.155,6625971.047,6246742.971,7084260.045,104409.6569,86638.8912,130253.4613,34191.08772,28813.81096,42315.46033,40517.61,165.82,2339563,151802.57,31520,129,44085,13042506.72,1.0725,0,0.6215,1,0.0556,0.0556,0.0556,10672090.21,9909758,8742714.236,6885.3,7087.11,6694.92,1092.06,1124.07,1061.86,904.6,904.6,904.6,617.6903417,620.2070825,612.5935187,154.3974419,162.5621898,146.153844,36072,2910,0.0015,0.1908,0.0056,0.1503,-17.7673
536,1/7/2022,reference,Illinois,149998.02,186500.38,123816.94,40581.54,32774.82,49003.94,11457810.93,10468028.21,12533641.14,121.15,97.83,146.3,94.24,94.24,94.25,31569.9,31566.91,31573.62,31390.6,31390.6,31390.6,0.87,0.81,0.92,4350541.918,3742138.005,4962505.217,6659158.9,6274852.447,7120802.314,101989.7085,84210.37734,126830.0615,33187.85272,27748.52422,40840.78278,40668.01,150.4,2382480,152811.57,31637,117,42917,13042506.72,1.0745,0,0.6236,1,0.0556,0.0556,0.0556,10699838.21,9935543,8763028.867,7006.8,7217.24,6812.01,1107.92,1141.2,1077.12,914.6,914.6,914.6,624.1169091,626.5731804,619.788313,154.3508728,162.5992437,146.0260649,36072,2910,0.0015,0.1864,0.0054,0.16,-19.1298
536,1/8/2022,reference,Illinois,147048.61,181972.72,121825.87,40709.2,32877.91,49158.1,11604859.54,10595611.62,12715004.27,127.66,103.09,154.16,99.31,99.31,99.31,31669.21,31666.22,31672.94,31913.53,31913.53,31913.53,0.87,0.82,0.94,4450637.696,3828719.002,5085962.269,6691380.726,6302063.688,7158123.194,100095.7775,82964.96411,123820.2669,32221.8258,26912.23404,39550.45021,40766.56,98.55,2408427,153757.57,31713.67,76.67,25947,13042506.72,1.0754,0,0.6252,1,0.0556,0.0556,0.0556,10727797.21,9961523,8783681.621,7093.89,7311.9,6894.88,1118.69,1153.07,1087.31,917.24,917.24,917.24,625.5386283,627.964062,621.5638732,152.9733221,161.0615027,144.8426402,36072,2910,0.0015,0.183,0.0053,0.1692,-20.2636
536,1/9/2022,reference,Illinois,144308.68,180803.29,119159.06,40846.77,32989.01,49324.23,11749168.23,10721517.43,12892576.76,137.57,111.1,166.13,107.02,107.02,107.03,31776.23,31773.24,31779.97,32337.67,32337.67,32337.67,0.87,0.82,0.94,4549004.629,3914198.345,5206990.102,6722666.558,6328206.537,7194712.378,98366.93354,81236.31456,123194.4798,31285.83188,26056.18512,38848.54068,40865.11,98.55,2434374,154600.57,31790.33,76.67,25947,13042506.72,1.0762,0,0.6264,1,0.0556,0.0556,0.0556,10757066.21,9988723,8805186.011,7166.05,7394.47,6961.3,1136.35,1172.57,1103.88,918.96,918.96,918.96,626.2107828,628.6822093,622.1681146,151.5052138,159.2968346,143.8429785,36072,2910,0.0015,0.181,0.0051,0.1779,-21.1423
536,1/10/2022,reference,Illinois,140828.49,179535.06,115580.6,40992.79,33106.93,49500.57,11889996.72,10844915.6,13066488.74,146.02,117.92,176.34,113.6,113.59,113.6,31889.83,31886.83,31893.57,31996.24,31996.24,31996.24,0.88,0.82,0.95,4645135.003,3998122.918,5325669.501,6752867.305,6353377.932,7230718.909,96130.37418,78912.16762,122497.7677,30200.747,25015.84222,38123.57572,40963.66,98.55,2460321,155421.57,31867,76.67,25947,13042506.72,1.0776,0,0.6273,1,0.0556,0.0556,0.0556,10784922.21,10014608,8826078.317,7227.84,7469.58,7018.19,1146.52,1184.86,1113.26,919.82,919.82,919.82,626.1334819,628.637218,622.1952964,150.0243679,157.4088002,142.7828147,36072,2910,0.0015,0.1765,0.0051,0.1862,-21.762
